cp,region,sub,reg_sub,col,del,lat_c,lon_c,num_diligencias_cpxgeo,num_addr_cpxgeo,num_diligencias_region,num_diligencias_subregion,area_sqkm,id
01000,4,4,23,SAN ANGEL,ALVARO OBREGON,19.347097,-99.190536,0.22151450813871196,0.19377162629757785,4076,1698,0.07389125817767023,1
01010,4,1,20,LOS ALPES,ALVARO OBREGON,19.36035,-99.192474,0.2760084925690021,0.12802768166089964,4076,973,0.03890540339966166,2
01020,4,4,23,GUADALUPE INN,ALVARO OBREGON,19.356564,-99.186348,0.2802547770700637,0.2179930795847751,4076,1698,0.05313201571401389,3
01030,4,4,23,FLORIDA,ALVARO OBREGON,19.357191,-99.181587,0.19391365888181175,0.1903114186851211,4076,1698,0.10749326062160684,4
01040,4,4,23,CAMPESTRE,ALVARO OBREGON,19.354195,-99.191017,0.021231422505307854,0.03806228373702422,4076,1698,0.028146374642947277,5
01049,4,4,23,TLACOPAC,ALVARO OBREGON,19.355173,-99.197334,0.005661712668082095,0.010380622837370242,4076,1698,0.02171894886496495,6
01050,4,4,23,EX-HACIENDA DE GUADALUPE CHIMALISTAC,ALVARO OBREGON,19.350567,-99.180626,0.09695682944090588,0.0726643598615917,4076,1698,0.019522644893115546,7
01060,4,4,23,ALTAVISTA,ALVARO OBREGON,19.35042,-99.197014,0.05307855626326964,0.05190311418685121,4076,1698,0.0327914910608691,8
01070,4,4,23,CHIMALISTAC,ALVARO OBREGON,19.342073,-99.188911,0.0686482661004954,0.0657439446366782,4076,1698,0.029607087519838125,9
01080,4,4,23,PROGRESO TIZAPAN,ALVARO OBREGON,19.340281,-99.202942,0.019815994338287332,0.02768166089965398,4076,1698,0.04325166916095438,10
01089,4,4,23,PROGRESO TIZAPAN,ALVARO OBREGON,19.337091,-99.204132,0.0021231422505307855,0.0034602076124567475,4076,1698,0.007050397084524573,11
01090,4,4,23,TIZAPAN SAN ANGEL,ALVARO OBREGON,19.337824,-99.196594,0.15003538570417552,0.21107266435986158,4076,1698,0.07883162555128656,12
01110,5,1,25,EL CAPULIN,ALVARO OBREGON,19.397154,-99.211517,0.004953998584571833,0.006920415224913495,4238,392,0.09279675254721953,13
01120,4,2,21,LAS AMERICAS,ALVARO OBREGON,19.400606,-99.19989,0.02689313517338995,0.04844290657439446,4076,944,0.0537794294957341,14
01130,4,NA,NA,UNIDAD HABITACIONAL MOLINO DE SANTO DOMINGO,ALVARO OBREGON,19.393682,-99.200714,0,0,4076,885,0.05270174206894627,15
01140,4,2,21,BELLAVISTA,ALVARO OBREGON,19.39591,-99.19603,0.03113941967445152,0.031141868512110725,4076,944,0.05317868796889054,16
01150,4,2,21,CRISTO REY,ALVARO OBREGON,19.390533,-99.201691,0.010615711252653927,0.01730103806228374,4076,944,0.0569674526016019,17
01160,4,2,21,CAROLA,ALVARO OBREGON,19.386852,-99.200241,0.004246284501061571,0.006920415224913495,4076,944,0.026095441454693395,18
01180,4,2,21,SAN PEDRO DE LOS PINOS,ALVARO OBREGON,19.387939,-99.192268,0.12809624911535739,0.10034602076124567,4076,944,0.05683505884503737,19
01210,5,5,29,SANTA FE,ALVARO OBREGON,19.379606,-99.245125,0.007077140835102618,0.02768166089965398,4238,1823,0.04131111688825591,20
01219,5,5,29,LOMAS DE SANTA FE,ALVARO OBREGON,19.372782,-99.255249,0.017692852087756547,0.02422145328719723,4238,1823,0.009331768029290442,21
01220,5,5,29,SANTA FE,ALVARO OBREGON,19.386105,-99.224648,0.01132342533616419,0.006920415224913495,4238,1823,0.16022990185179864,22
01230,5,5,29,BEJERO,ALVARO OBREGON,19.379505,-99.244865,0.0028308563340410475,0.0034602076124567475,4238,1823,0.016305351969206877,23
01270,4,5,24,LOMAS DE SANTA FE,ALVARO OBREGON,19.382608,-99.218361,0,0,4076,7,0.042529889244997794,24
01279,4,5,24,SANTA FE,ALVARO OBREGON,19.384581,-99.220787,0.0014154281670205238,0.0034602076124567475,4076,7,0.02615962490786679,25
01280,4,2,21,LOMAS DE BECERRA,ALVARO OBREGON,19.382984,-99.203957,0.02264685067232838,0.031141868512110725,4076,944,0.04688382552564393,26
01290,4,2,21,PILOTO ADOLFO LOPEZ MATEOS,ALVARO OBREGON,19.373011,-99.232628,0.0014154281670205238,0.0034602076124567475,4076,944,0.043497663142165466,27
01310,5,NA,NA,CUAJIMALPA,ALVARO OBREGON,19.379427,-99.253456,0.008492569002123142,0.010380622837370242,4238,885,0.03834029703498816,28
01320,5,5,29,LOMAS DE SANTA FE,ALVARO OBREGON,19.37936,-99.250168,0.0014154281670205238,0.0034602076124567475,4238,1823,0.0099530009240004335,29
01330,5,2,26,PASEO DE LAS LOMAS,ALVARO OBREGON,19.369389,-99.266479,0.10898796886058032,0.09342560553633218,4238,1465,0.03459589205793049,30
01340,5,5,29,SANTA FE,ALVARO OBREGON,19.379986,-99.244965,0,0,4238,1823,0.0023264859375525856,31
01376,5,5,29,SANTA FE,ALVARO OBREGON,19.366675999999998,-99.260719,0.49610757254069354,0.44982698961937717,4238,1823,0.26853991477794315,32
01389,5,5,29,SANTA FE,ALVARO OBREGON,19.358927,-99.258812,0,0,4238,1823,0.014364465459026072,33
01400,4,2,21,MOLINO DE ROSAS,ALVARO OBREGON,19.372725,-99.206802,0.012031139419674451,0.01384083044982699,4076,944,0.04602354236510073,34
01408,4,2,21,OLIVAR DEL CONDE,ALVARO OBREGON,19.371746,-99.219048,0.004246284501061571,0.006920415224913495,4076,944,0.04335126124488891,35
