cp,region,sub,reg_sub,col,del,lat_c,lon_c,num_diligencias_cpxgeo,num_addr_cpxgeo,num_diligencias_region,num_diligencias_subregion,area_sqkm,id
3300,1,1,1,"PORTALES SUR","BENITO JUAREZ",19.361593,-99.150269,.11111111,.14532872,4071,1529,.07664407,156
3330,1,1,1,"XOCO","BENITO JUAREZ",19.362272,-99.167397,.10261855,.083044983,4071,1529,.04347004,161
3340,1,1,1,"GENERAL PEDRO MARIA ANAYA","BENITO JUAREZ",19.360907,-99.159126,.0452937,.072664358,4071,1529,.040230457,162
3590,1,2,2,"ERMITA","BENITO JUAREZ",19.358515,-99.142662,.0042462847,.0069204154,4071,939,.0078216642,177
4000,1,,1,"","COYOACAN",19.346823,-99.162941,.030431706,.055363324,4071,885,.022635447,199
4010,1,1,1,"SANTA CATARINA","COYOACAN",19.347296,-99.171432,.041755132,.065743946,4071,1529,.065397538,200
4020,1,6,6,"BARRIO LA CONCEPCION","COYOACAN",19.344831,-99.156967,.0099079972,.013840831,4071,336,.020135516,201
4030,1,1,1,"BARRIO SAN LUCAS","COYOACAN",19.346031,-99.151863,.030431706,.027681662,4071,1529,.028597862,202
4040,1,1,1,"PARQUE SAN ANDRES","COYOACAN",19.344782,-99.150444,.028308563,.041522492,4071,1529,.041575536,203
4100,1,1,1,"DEL CARMEN","COYOACAN",19.354731,-99.162285,.11677282,.20415226,4071,1529,.15893899,204
4120,1,1,1,"SAN DIEGO CHURUBUSCO","COYOACAN",19.355545,-99.150818,.021939136,.027681662,4071,1529,.050039534,205
4200,1,2,2,"CAMPESTRE CHURUBUSCO","COYOACAN",19.344236,-99.136429,.041755132,.069204152,4071,939,.12647741,206
4210,1,2,2,"CHURUBUSCO COUNTRY CLUB","COYOACAN",19.348024,-99.144867,.01203114,.010380623,4071,939,.09298519,207
4230,1,2,2,"PRADO CHURUBUSCO","COYOACAN",19.356028,-99.127266,.023354564,.044982698,4071,939,.060037326,208
4240,1,2,2,"HERMOSILLO","COYOACAN",19.34473,-99.127777,.0021231424,.0034602077,4071,939,.0044645662,209
4250,1,2,2,"PASEOS DE TAXQUEÃâA","COYOACAN",19.342825,-99.125854,.014154281,.024221454,4071,939,.0918964,210
4260,1,2,2,"SAN FRANCISCO CULHUACAN","COYOACAN",19.336552,-99.121025,.046709128,.055363324,4071,939,.09200526,211
4270,1,2,2,"CAMPESTRE CHURUBUSCO","COYOACAN",19.340212,-99.131584,0,0,4071,939,.03443918,212
4300,1,1,1,"AJUSCO","COYOACAN",19.32074,-99.160172,.062986553,.079584777,4071,1529,.17791647,213
4310,1,1,1,"ROMERO DE TERREROS","COYOACAN",19.344851,-99.177124,.059447981,.062283736,4071,1529,.10075784,214
4317,1,1,1,"ROMERO DE TERREROS","COYOACAN",19.345049,-99.180763,.0014154281,0,4071,1529,.03443918,215
4318,1,1,1,"OXTOPULCO UNIVERSIDAD","COYOACAN",19.343401,-99.181923,.01556971,.020761246,4071,1529,.020804092,216
4320,1,1,1,"SAN FRANCISCO","COYOACAN",19.340321,-99.165993,.012738854,.024221454,4071,1529,.058985762,217
4330,1,1,1,"","COYOACAN",19.338736,-99.154167,.033970278,.051903114,4071,1529,.12283102,218
4340,1,1,1,"COPILCO UNIVERSIDAD","COYOACAN",19.337732,-99.176796,.0077848551,.013840831,4071,1529,.02061861,219
4350,1,1,1,"XOCO","BENITO JUAREZ",19.339878,-99.182564,.0042462847,.0069204154,4071,1529,.03443918,220
4359,1,,1,"COPILCO","COYOACAN",19.338169,-99.182556,.0056617125,0,4071,885,.03443918,221
4360,1,1,1,"COPILCO UNIVERSIDAD","COYOACAN",19.335468,-99.178871,.041755132,.072664358,4071,1529,.034808338,222
4369,1,1,1,"PEDREGAL DE SANTO DOMINGO","COYOACAN",19.330332,-99.165932,.029723991,.062283736,4071,1529,.20581116,223
4370,1,1,1,"CIUDAD JARDIN","COYOACAN",19.337664,-99.144989,.02406228,.038062282,4071,1529,.047854807,224
4380,1,1,1,"EL ROSARIO","COYOACAN",19.329494,-99.146919,.019108281,.034602076,4071,1529,.062425882,225
4400,1,2,2,"EDUCACION","COYOACAN",19.337679,-99.131111,.021939136,.048442908,4071,939,.05130839,226
4410,1,2,2,"PETROLERA TAXQUEÃâA","COYOACAN",19.340202,-99.13324,.0021231424,.0034602077,4071,939,.0089776032,227
4420,1,2,2,"SAN FRANCISCO CULHUACAN","COYOACAN",19.330786,-99.124878,.020523708,.034602076,4071,939,.052423514,228
4440,1,2,2,"SAN FRANCISCO CULHUACAN","COYOACAN",19.329527,-99.110756,.0021231424,.0034602077,4071,939,.048450399,229
4450,1,2,2,"CENTINELA","COYOACAN",19.335615,-99.139938,.0028308562,.0034602077,4071,939,.01499228,230
4460,1,2,2,"AVANTE","COYOACAN",19.330515,-99.136726,.024769993,.038062282,4071,939,.076994993,231
4470,1,2,2,"PRESIDENTES EJIDALES 1A SECCION","COYOACAN",19.324358,-99.124458,.01556971,.024221454,4071,939,.04473019,232
4480,1,5,5,"CULHUACAN","COYOACAN",19.323698,-99.120819,.0035385704,.0034602077,4071,13,.066780485,233
4490,1,2,2,"CARMEN SERDAN","COYOACAN",19.321556,-99.113342,.0014154281,.0034602077,4071,939,.031582441,234
4500,1,1,1,"JARDINES DEL PEDREGAL DE SAN ANGEL","COYOACAN",19.308054,-99.200752,.019108281,.031141868,4071,1529,.06565927,235
4510,1,1,1,"CU","COYOACAN",19.326357,-99.178497,.0028308562,.0034602077,4071,1529,.54654902,236
4519,1,4,4,"LA OTRA BANDA","COYOACAN",19.335712,-99.195122,.0042462847,.0034602077,4071,443,.0067219473,237
4530,1,1,1,"INSURGENTES CUICUILCO","COYOACAN",19.305679,-99.187798,.033970278,.044982698,4071,1529,.068876706,238
4600,1,1,1,"","COYOACAN",19.311344,-99.156593,.021231422,.048442908,4071,1529,.15223584,239
4610,1,1,1,"XOTEPINGO","COYOACAN",19.328028,-99.140465,.014154281,.017301038,4071,1529,.011640667,240
4620,1,2,2,"SAN PABLO TEPETLAPA","COYOACAN",19.321177,-99.138901,.014154281,.017301038,4071,939,.038156953,241
4630,1,1,1,"ADOLFO RUIZ CORTINEZ","COYOACAN",19.318995,-99.157104,.0014154281,.0034602077,4071,1529,.044777062,242
4640,1,1,1,"EL RELOJ","COYOACAN",19.317282,-99.140579,.0084925694,.010380623,4071,1529,.022580521,243
4650,1,1,1,"SANTA URSULA COAPA","COYOACAN",19.309776,-99.144257,.02264685,.013840831,4071,1529,.090976059,244
4660,1,,1,"PEDREGAL DE LA ZORRA","COYOACAN",19.306288,-99.160362,.0021231424,0,4071,885,.0075522698,245
