cp,new_region_tuning
6000,10n
6010,10n
6020,10n
6040,10n
6050,10n
6060,10n
6070,10n
6080,10n
6090,10n
6200,10n
6240,10n
6270,10n
6280,10n
6820,10n
6840,10n
8000,11n
8010,11n
8020,11n
8030,11n
8040,11n
8100,11n
8200,11n
8210,11n
8220,11n
8230,11n
8240,11n
8300,11n
8310,11n
8320,11n
8400,11n
8420,11n
8500,11n
8510,11n
8580,11n
8600,11n
8610,11n
8620,11n
8650,11n
8700,11n
8710,11n
8720,11n
8730,11n
8760,11n
8770,11n
8800,11n
8810,11n
8830,11n
8840,11n
8900,11n
8910,11n
8920,11n
8930,11n
9010,11n
9020,11n
9030,11n
9040,11n
9319,11n
9400,11n
9410,11n
9420,11n
9429,11n
9430,11n
9438,11n
9440,11n
9450,11n
9460,11n
9470,11n
9479,11n
9480,11n
8188,12n
9000,12n
9060,12n
9070,12n
9080,12n
9089,12n
9090,12n
9099,12n
9100,12n
9130,12n
9140,12n
9180,12n
9200,12n
9207,12n
9208,12n
9209,12n
9210,12n
9220,12n
9230,12n
9239,12n
9240,12n
9250,12n
9260,12n
9270,12n
9280,12n
9290,12n
9300,12n
9310,12n
9320,12n
9330,12n
9350,12n
9359,12n
9360,12n
9500,12n
9510,12n
9520,12n
9530,12n
9550,12n
9560,12n
9570,12n
9578,12n
9800,12n
9810,12n
9819,12n
9820,12n
9828,12n
9829,12n
9830,12n
9837,12n
9838,12n
9839,12n
9840,12n
9849,12n
9850,12n
9856,12n
9858,12n
9859,12n
9860,12n
9864,12n
9868,12n
9870,12n
9880,12n
9889,12n
9890,12n
9897,12n
14000,13n
14090,13n
14100,13n
14108,13n
14130,13n
14200,13n
14208,13n
14209,13n
14219,13n
14220,13n
14230,13n
14239,13n
14240,13n
14248,13n
14250,13n
14260,13n
14266,13n
14267,13n
14268,13n
14269,13n
14270,13n
14273,13n
14275,13n
14276,13n
14400,13n
14406,13n
14408,13n
14409,13n
14410,13n
14420,13n
14426,13n
14427,13n
14429,13n
14430,13n
14438,13n
14439,13n
14440,13n
14449,13n
14450,13n
14456,13n
14460,13n
14470,13n
14475,13n
14476,13n
14479,13n
14480,13n
14490,13n
14492,13n
14500,13n
14505,13n
14520,13n
14550,13n
14600,13n
14608,13n
14609,13n
14620,13n
14629,13n
14630,13n
14640,13n
14643,13n
14646,13n
14647,13n
14650,13n
14653,13n
14654,13n
14655,13n
14657,13n
14658,13n
14659,13n
14700,13n
14710,13n
14712,13n
14713,13n
14714,13n
14715,13n
14720,13n
14730,13n
14734,13n
14735,13n
14737,13n
14738,13n
14739,13n
14740,13n
14748,13n
14749,13n
14750,13n
14760,13n
14780,13n
14790,13n
14900,13n
14903,13n
14904,13n
14905,13n
14906,13n
16000,13n
16010,13n
16020,13n
16029,13n
16030,13n
16034,13n
16035,13n
16038,13n
16040,13n
16043,13n
16050,13n
16059,13n
16060,13n
16070,13n
16080,13n
16090,13n
16093,13n
16100,13n
16106,13n
16200,13n
16210,13n
16216,13n
16220,13n
16230,13n
16240,13n
16243,13n
16244,13n
16247,13n
